   33.333333333333350                   (0.11068254585541634,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (4.19268337065014374E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-1.40060555552207217E-002,-1.50236970258536711E-008)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (6.52970454821080563E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-4.32208327888670973E-003,-4.67252943664372767E-009)               (0.0000000000000000,0.0000000000000000)  (-4.44539889953887886E-003,1.23623508866738121E-008)
   33.343750000000014              (9.26244343488763777E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (3.49934368942437166E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-1.16894924481955095E-002,-9.40251544009564386E-009)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (5.48128839137852764E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-3.62806209006748129E-003,-2.94925685862463054E-009)               (0.0000000000000000,0.0000000000000000)  (-3.73197439201882353E-003,7.80300020393952098E-009)
   33.354166666666686              (7.74015187338770588E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (2.91642568492217688E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-9.74203046452407941E-003,-5.73949089129780382E-009)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (4.59462938596245929E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-3.04114531454867734E-003,-1.81733465191820930E-009)               (0.0000000000000000,0.0000000000000000)  (-3.12848531365777453E-003,4.80821554073073068E-009)
   33.364583333333350              (6.45878794736430145E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (2.42708720997319091E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-8.10730514445731111E-003,-3.43548760149865994E-009)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (3.84588969592055156E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-2.54553869977202675E-003,-1.09958328353977858E-009)               (0.0000000000000000,0.0000000000000000)  (-2.61878617060511002E-003,2.90922391497245879E-009)
   33.375000000000014              (5.38182289042326428E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (2.01692318289358186E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-6.73713505742509679E-003,-2.02284379350203057E-009)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (3.21455308260420883E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-2.12765298211470494E-003,-6.55745761885262146E-010)               (0.0000000000000000,0.0000000000000000)  (-2.18895900309321739E-003,1.73494021090747432E-009)
   33.385416666666686              (4.47798933144048644E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (1.67363748480477206E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-5.59040932196394787E-003,-1.17348555551487774E-009)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (2.68299623854605703E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-1.77581766622449577E-003,-3.86404950370653176E-010)               (0.0000000000000000,0.0000000000000000)  (-1.82703468341360452E-003,1.02233140406175848E-009)
   33.395833333333350              (3.72057297097043854E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (1.38675391116840456E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-4.63211182599612605E-003,-6.70833052467837511E-010)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (2.23610863484107652E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-1.48002784721034644E-003,-2.25343607966544095E-010)               (0.0000000000000000,0.0000000000000000)  (-1.52274231445828525E-003,5.96203146376421424E-010)
   33.406250000000014              (3.08678991465878433E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (1.14736280562197090E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-3.83246860319328342E-003,-3.77401401222794207E-010)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (1.86095702237576866E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-1.23172118500658716E-003,-1.30178346879816776E-010)               (0.0000000000000000,0.0000000000000000)  (-1.26728587840400746E-003,3.44419532221748096E-010)
   33.416666666666686              (2.55724155360362408E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (9.47899898211758581E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-3.16620525844120730E-003,-2.08265522234106520E-010)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (1.54649053789749215E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-1.02358212957523367E-003,-7.45175359040117816E-011)               (0.0000000000000000,0.0000000000000000)  (-1.05314654974813962E-003,1.97154868949780339E-010)
   33.427083333333350              (2.11543899809535085E-002,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (7.81953937442383430E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-2.61190209918985179E-003,-1.12014291106912614E-010)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (1.28328239298662237E-003,0.0000000000000000)               (0.0000000000000000,0.0000000000000000) (-8.49370592463081749E-004,-4.22548984652902898E-011)               (0.0000000000000000,0.0000000000000000)  (-8.73908687656696297E-004,1.11795953272913717E-010)
