   33.328125000000014                    (3.5631563263887833,0.0000000000000000)
   33.338541666666679                    (3.5266590772332949,0.0000000000000000)
   33.348958333333350                    (3.4903716893475782,0.0000000000000000)
   33.359375000000014                    (3.4542949673918693,0.0000000000000000)
   33.369791666666679                    (3.4184294340392003,0.0000000000000000)
   33.380208333333350                    (3.3827753739100035,0.0000000000000000)
   33.390625000000014                    (3.3473328709815275,0.0000000000000000)
   33.401041666666679                    (3.3121018403822382,0.0000000000000000)
   33.411458333333350                    (3.2770820553671371,0.0000000000000000)
   33.421875000000014                    (3.2422731701659862,0.0000000000000000)
   33.432291666666679                    (3.2076747393044611,0.0000000000000000)
   33.442708333333350                    (3.1732862339175423,0.0000000000000000)
   33.453125000000014                    (3.1391070555022704,0.0000000000000000)
   33.463541666666679                    (3.1051365474944013,0.0000000000000000)
   33.473958333333350                    (3.0713740049995266,0.0000000000000000)
   33.484375000000014                    (3.0378186829611797,0.0000000000000000)
   33.494791666666679                    (3.0044698030073351,0.0000000000000000)
   33.505208333333350                    (2.9713265591818439,0.0000000000000000)
   33.515625000000014                    (2.9383881227360904,0.0000000000000000)
   33.526041666666679                    (2.9056536461298461,0.0000000000000000)
   33.536458333333350                    (2.8731222663682905,0.0000000000000000)
   33.546875000000014                    (2.8407931077821980,0.0000000000000000)
   33.557291666666679                    (2.8086652843417426,0.0000000000000000)
   33.567708333333350                    (2.7767379015808378,0.0000000000000000)
   33.578125000000014                    (2.7450100581962902,0.0000000000000000)
   33.588541666666679                    (2.7134808473758212,0.0000000000000000)
   33.598958333333350                    (2.6821493579009115,0.0000000000000000)
   33.609375000000014                    (2.6510146750624624,0.0000000000000000)
   33.619791666666679                    (2.6200758814210632,0.0000000000000000)
   33.630208333333350                    (2.5893320574389582,0.0000000000000000)
   33.640625000000014                    (2.5587822820058119,0.0000000000000000)
   33.651041666666679                    (2.5284256328766319,0.0000000000000000)
   33.661458333333350                    (2.4982611870376648,0.0000000000000000)
   33.671875000000014                    (2.4682880210128655,0.0000000000000000)
   33.682291666666679                    (2.4385052111213632,0.0000000000000000)
   33.692708333333350                    (2.4089118336950652,0.0000000000000000)
   33.703125000000014                    (2.3795069652634449,0.0000000000000000)
   33.713541666666679                    (2.3502896827112973,0.0000000000000000)
   33.723958333333350                    (2.3212590634147379,0.0000000000000000)
   33.734375000000014                    (2.2924141853592728,0.0000000000000000)
   33.744791666666679                    (2.2637541272430788,0.0000000000000000)
   33.755208333333350                    (2.2352779685685373,0.0000000000000000)
   33.765625000000014                    (2.2069847897240500,0.0000000000000000)
   33.776041666666679                    (2.1788736720577564,0.0000000000000000)
   33.786458333333350                    (2.1509436979449648,0.0000000000000000)
   33.796875000000014                    (2.1231939508503004,0.0000000000000000)
   33.807291666666679                    (2.0956235153853675,0.0000000000000000)
   33.817708333333350                    (2.0682314773630361,0.0000000000000000)
   33.828125000000014                    (2.0410169238488129,0.0000000000000000)
   33.838541666666679                    (2.0139789432096293,0.0000000000000000)
   33.848958333333350                    (1.9871166251607892,0.0000000000000000)
   33.859375000000014                    (1.9604290608112325,0.0000000000000000)
   33.869791666666679                    (1.9339153427072062,0.0000000000000000)
   33.880208333333350                    (1.9075745648748843,0.0000000000000000)
   33.890625000000014                    (1.8814058228619328,0.0000000000000000)
   33.901041666666679                    (1.8554082137779877,0.0000000000000000)
   33.911458333333350                    (1.8295808363344808,0.0000000000000000)
   33.921875000000014                    (1.8039227908837208,0.0000000000000000)
   33.932291666666679                    (1.7784331794571457,0.0000000000000000)
   33.942708333333350                    (1.7531111058031108,0.0000000000000000)
   33.953125000000014                    (1.7279556754240915,0.0000000000000000)
   33.963541666666679                    (1.7029659956131773,0.0000000000000000)
   33.973958333333350                    (1.6781411754901940,0.0000000000000000)
   33.984375000000014                    (1.6534803260373128,0.0000000000000000)
   33.994791666666679                    (1.6289825601340107,0.0000000000000000)
   34.005208333333350                    (1.6046469925917006,0.0000000000000000)
   34.015625000000014                    (1.5804727401878793,0.0000000000000000)
   34.026041666666679                    (1.5564589216996572,0.0000000000000000)
   34.036458333333350                    (1.5326046579369725,0.0000000000000000)
   34.046875000000014                    (1.5089090717753393,0.0000000000000000)
   34.057291666666679                    (1.4853712881879901,0.0000000000000000)
   34.067708333333350                    (1.4619904342776813,0.0000000000000000)
   34.078125000000014                    (1.4387656393080284,0.0000000000000000)
   34.088541666666679                    (1.4156960347343273,0.0000000000000000)
   34.098958333333350                    (1.3927807542340711,0.0000000000000000)
   34.109375000000014                    (1.3700189337369504,0.0000000000000000)
   34.119791666666679                    (1.3474097114542631,0.0000000000000000)
   34.130208333333350                    (1.3249522279080144,0.0000000000000000)
   34.140625000000014                    (1.3026456259595647,0.0000000000000000)
   34.151041666666679                    (1.2804890508376885,0.0000000000000000)
   34.161458333333350                    (1.2584816501663227,0.0000000000000000)
   34.171875000000014                    (1.2366225739918622,0.0000000000000000)
   34.182291666666679                    (1.2149109748098716,0.0000000000000000)
   34.192708333333350                    (1.1933460075914861,0.0000000000000000)
   34.203125000000014                    (1.1719268298093597,0.0000000000000000)
   34.213541666666679                    (1.1506526014630363,0.0000000000000000)
   34.223958333333350                    (1.1295224851040073,0.0000000000000000)
   34.234375000000014                    (1.1085356458603228,0.0000000000000000)
   34.244791666666679                    (1.0876912514606283,0.0000000000000000)
   34.255208333333350                    (1.0669884722578900,0.0000000000000000)
   34.265625000000014                    (1.0464264812526762,0.0000000000000000)
   34.276041666666679                   (0.88516682465392038,0.0000000000000000)
   34.286458333333350                   (0.72400515356330841,0.0000000000000000)
   34.296875000000014                   (0.56294137870041627,0.0000000000000000)
   34.307291666666679                   (0.40197541089292299,0.0000000000000000)
   34.317708333333350                   (0.24110716107677529,0.0000000000000000)
   34.328125000000014              (8.03365402963531483E-002,0.0000000000000000)
   34.338541666666679             (-8.03365402963531761E-002,0.0000000000000000)
