           1            (-0.33082710943807880,-0.0000000000000000)         (5.46625269955344634E-002,0.0000000000000000)       (0.40515712406707605,-4.22282127327906417E-003)  (-6.69404502415275604E-002,6.97696428011437310E-004)
           2            (-0.33079659625004698,-0.0000000000000000)         (5.46574854974191809E-002,0.0000000000000000)       (0.40511975385239751,-8.46544289390088744E-003)  (-6.69342759114381902E-002,1.39866645826725944E-003)
           3            (-0.33074567796918752,-0.0000000000000000)         (5.46490724681350307E-002,0.0000000000000000)       (0.40505739394299112,-1.27075423261282273E-002)  (-6.69239727599187373E-002,2.09955021218760293E-003)
           4            (-0.33067435773780185,-0.0000000000000000)         (5.46372884266723008E-002,0.0000000000000000)       (0.40497004818486548,-1.69488578972805566E-002)  (-6.69095414225087115E-002,2.80030445596100462E-003)
           5            (-0.33058263995397030,-0.0000000000000000)         (5.46221340998544538E-002,0.0000000000000000)       (0.40485772196770486,-2.11891279830471180E-002)  (-6.68909827894397513E-002,3.50088596376549408E-003)
           6            (-0.33047053027571838,-0.0000000000000000)         (5.46036104225408048E-002,0.0000000000000000)       (0.40472042221880900,-2.54280910235678351E-002)  (-6.68682980054457199E-002,4.20125152043179621E-003)
           7            (-0.33033803561867903,-0.0000000000000000)         (5.45817185373272812E-002,0.0000000000000000)       (0.40455815740741541,-2.96654855396763367E-002)  (-6.68414884698485534E-002,4.90135792411606000E-003)
           8            (-0.33018516415532062,-0.0000000000000000)         (5.45564597945925461E-002,0.0000000000000000)       (0.40437093754358561,-3.39010501489079297E-002)  (-6.68105558363920604E-002,5.60116198895503278E-003)
           9            (-0.33001192531609114,-0.0000000000000000)         (5.45278357524448531E-002,0.0000000000000000)       (0.40415877417582891,-3.81345235816611880E-002)  (-6.67755020131753085E-002,6.30062054774079353E-003)
          10            (-0.32981832978664177,-0.0000000000000000)         (5.44958481765502462E-002,0.0000000000000000)       (0.40392168039093829,-4.23656446973873779E-002)  (-6.67363291624397115E-002,6.99969045457018123E-003)
          11            (-0.32960438950900040,-0.0000000000000000)         (5.44604990400420139E-002,0.0000000000000000)       (0.40365967081393039,-4.65941525006153684E-002)  (-6.66930397005495446E-002,7.69832858752189566E-003)
          12            (-0.32937011768013252,-0.0000000000000000)         (5.44217905233887467E-002,0.0000000000000000)       (0.40337276160736651,-5.08197861569668341E-002)  (-6.66456362978340988E-002,8.39649185130304093E-003)
          13            (-0.32911552875059152,-0.0000000000000000)         (5.43797250143759694E-002,0.0000000000000000)       (0.40306097046834838,-5.50422850095691613E-002)  (-6.65941218783512173E-002,9.09413717991499823E-003)
          14            (-0.32884063842557171,-0.0000000000000000)         (5.43343051077721795E-002,0.0000000000000000)       (0.40272431663042940,-5.92613885947164271E-002)  (-6.65384996197194989E-002,9.79122153931330161E-003)
          15            (-0.32854546366075987,-0.0000000000000000)         (5.42855336052901205E-002,0.0000000000000000)       (0.40236282085957165,-6.34768366583621235E-002)  (-6.64787729530117166E-002,1.04877019300433291E-002)
          16            (-0.32823002266369444,-0.0000000000000000)         (5.42334135153774016E-002,0.0000000000000000)       (0.40197650545458324,-6.76883691716059360E-002)  (-6.64149455624447466E-002,1.11835353899148761E-002)
          17            (-0.32789433489352310,-0.0000000000000000)         (5.41779480530595117E-002,0.0000000000000000)       (0.40156539424508053,-7.18957263474581110E-002)  (-6.63470213852036528E-002,1.18786789966449403E-002)
          18            (-0.32753842105541953,-0.0000000000000000)         (5.41191406397176500E-002,0.0000000000000000)       (0.40112951259080276,-7.60986486562198888E-002)  (-6.62750046111391655E-002,1.25730898705015137E-002)
          19            (-0.32716230310504646,-0.0000000000000000)         (5.40569949028411323E-002,0.0000000000000000)       (0.40066888737905126,-8.02968768419549395E-002)  (-6.61988996826531201E-002,1.32667251769533825E-002)
          20            (-0.32676600424281582,-0.0000000000000000)         (5.39915146758933318E-002,0.0000000000000000)       (0.40018354702255943,-8.44901519380424904E-002)  (-6.61187112941750976E-002,1.39595421292989363E-002)
          21            (-0.32634954891396312,-0.0000000000000000)         (5.39227039979913239E-002,0.0000000000000000)       (0.39967352145978019,-8.86782152836019660E-002)  (-6.60344443921373758E-002,1.46514979913339970E-002)
          22            (-0.32591296280805260,-0.0000000000000000)         (5.38505671137147965E-002,0.0000000000000000)       (0.39913884215167161,-9.28608085390508764E-002)  (-6.59461041745137699E-002,1.53425500799570722E-002)
